zscode,zcode,sido,sigungu
11110,11,서울특별시,종로구
11140,11,서울특별시,중구
11170,11,서울특별시,용산구
11200,11,서울특별시,성동구
11215,11,서울특별시,광진구
11230,11,서울특별시,동대문구
11260,11,서울특별시,중랑구
11290,11,서울특별시,성북구
11305,11,서울특별시,강북구
11320,11,서울특별시,도봉구
11350,11,서울특별시,노원구
11380,11,서울특별시,은평구
11410,11,서울특별시,서대문구
11440,11,서울특별시,마포구
11470,11,서울특별시,양천구
11500,11,서울특별시,강서구
11530,11,서울특별시,구로구
11545,11,서울특별시,금천구
11560,11,서울특별시,영등포구
11590,11,서울특별시,동작구
11620,11,서울특별시,관악구
11650,11,서울특별시,서초구
11680,11,서울특별시,강남구
11710,11,서울특별시,송파구
11740,11,서울특별시,강동구
26110,26,부산광역시,중구
26140,26,부산광역시,서구
26170,26,부산광역시,동구
26200,26,부산광역시,영도구
26230,26,부산광역시,부산진구
26260,26,부산광역시,동래구
26290,26,부산광역시,남구
26320,26,부산광역시,북구
26350,26,부산광역시,해운대구
26380,26,부산광역시,사하구
26410,26,부산광역시,금정구
26440,26,부산광역시,강서구
26470,26,부산광역시,연제구
26500,26,부산광역시,수영구
26530,26,부산광역시,사상구
26710,26,부산광역시,기장군
27110,27,대구광역시,중구
27140,27,대구광역시,동구
27170,27,대구광역시,서구
27200,27,대구광역시,남구
27230,27,대구광역시,북구
27260,27,대구광역시,수성구
27290,27,대구광역시,달서구
27710,27,대구광역시,달성군
27720,27,대구광역시,군위군
28110,28,인천광역시,중구
28140,28,인천광역시,동구
28177,28,인천광역시,미추홀구
28185,28,인천광역시,연수구
28200,28,인천광역시,남동구
28237,28,인천광역시,부평구
28245,28,인천광역시,계양구
28260,28,인천광역시,서구
28710,28,인천광역시,강화군
28720,28,인천광역시,옹진군
29110,29,광주광역시,동구
29140,29,광주광역시,서구
29155,29,광주광역시,남구
29170,29,광주광역시,북구
29200,29,광주광역시,광산구
30110,30,대전광역시,동구
30140,30,대전광역시,중구
30170,30,대전광역시,서구
30200,30,대전광역시,유성구
30230,30,대전광역시,대덕구
31110,31,울산광역시,중구
31140,31,울산광역시,남구
31170,31,울산광역시,동구
31200,31,울산광역시,북구
31710,31,울산광역시,울주군
36110,36,세종특별자치시,세종특별자치시
41110,41,경기도,수원시
41130,41,경기도,성남시
41150,41,경기도,의정부시
41170,41,경기도,안양시
41190,41,경기도,부천시
41210,41,경기도,광명시
41220,41,경기도,평택시
41250,41,경기도,동두천시
41270,41,경기도,안산시
41280,41,경기도,고양시
41290,41,경기도,과천시
41310,41,경기도,구리시
41360,41,경기도,남양주시
41370,41,경기도,오산시
41390,41,경기도,시흥시
41410,41,경기도,군포시
41430,41,경기도,의왕시
41450,41,경기도,하남시
41460,41,경기도,용인시
41480,41,경기도,파주시
41500,41,경기도,이천시
41550,41,경기도,안성시
41570,41,경기도,김포시
41590,41,경기도,화성시
41610,41,경기도,광주시
41630,41,경기도,양주시
41650,41,경기도,포천시
41670,41,경기도,여주시
41800,41,경기도,연천군
41820,41,경기도,가평군
41830,41,경기도,양평군
43110,43,충청북도,청주시
43130,43,충청북도,충주시
43150,43,충청북도,제천시
43720,43,충청북도,보은군
43730,43,충청북도,옥천군
43740,43,충청북도,영동군
43745,43,충청북도,증평군
43750,43,충청북도,진천군
43760,43,충청북도,괴산군
43770,43,충청북도,음성군
43800,43,충청북도,단양군
44130,44,충청남도,천안시
44150,44,충청남도,공주시
44180,44,충청남도,보령시
